[INFO ] 2023-06-07 18:55:41.966 [main] ApiRequest - Performed POST: api/v1/usersignup
[INFO ] 2023-06-07 18:55:41.967 [main] ApiRequest - Body is: {"email":"malia.kertzmann@gmail.com","login":"colby.mayer","password":"mg70uf5f2","first_name":"Julian","last_name":"Jacobson"}
[WARN ] 2023-06-07 18:55:43.744 [main] ApiRequest - Response is: {
    "id": 14,
    "login": "colby.mayer",
    "first_name": "Julian",
    "last_name": "Jacobson",
    "email": "malia.kertzmann@gmail.com",
    "restrict_email": "0",
    "user_type": "Learner-Type",
    "timezone": "(GMT +01:00) Greenwich Mean Time: Edinburgh, Lisbon, London",
    "language": "English",
    "status": "active",
    "level": "1",
    "points": "0",
    "created_on": "07/06/2023, 15:55:43",
    "last_updated": "07/06/2023, 15:55:43",
    "last_updated_timestamp": 1686149743,
    "avatar": "https://d3j0t7vrtr92dk.cloudfront.net/images/default_user.png",
    "bio": null,
    "login_key": "https://bravos.talentlms.com/index/autologin/key:iepcsmacprhg9leqmucl168614974314"
}
[WARN ] 2023-06-07 18:55:43.744 [main] ApiRequest - Status code is: 200
